Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Delhi,218.27,58,Medium,2024-06-09,9,Paneer,Mother Dairy,293.1,42.46,12445.03,134,Ambient,2024-04-25,2024-09-06,279.54,46.22,12920.34,Maharashtra,Online,13.56,78.52,34.35
Telangana,870.1,41,Medium,2021-11-12,2,Butter,Amul,293.66,49.86,14641.89,52,Tetra Pack,2021-09-14,2021-11-05,226.06,49.42,11171.89,Bihar,Online,67.6,20.17,184.71
Madhya Pradesh,431.66,39,Large,2022-11-30,4,Yogurt,Mother Dairy,125.64,11.15,1400.89,99,Polythene Packet,2022-10-29,2023-02-05,7.78,11.81,91.88,Tamil Nadu,Online,117.86,58.92,143.48
West Bengal,133.4,79,Large,2023-09-08,8,Buttermilk,Dodla Dairy,149.14,78.28,11674.68,138,Ambient,2023-08-11,2023-12-27,64.73,74.69,4834.68,Rajasthan,Online,84.41,96.28,58.0
Maharashtra,641.29,73,Large,2019-02-12,5,Ice Cream,Passion Cheese,138.67,94.9,13159.78,56,Polythene Packet,2019-01-26,2019-03-23,51.57,90.2,4651.61,Karnataka,Retail,87.1,78.46,26.86
Madhya Pradesh,480.54,43,Large,2019-04-05,6,Curd,Mother Dairy,687.31,84.15,57837.14,63,Frozen,2019-02-14,2019-04-18,675.9,87.63,59229.12,Uttar Pradesh,Online,11.41,51.13,161.33
Rajasthan,343.52,68,Large,2022-07-20,4,Yogurt,Dynamix Dairies,191.16,18.92,3616.75,135,Frozen,2022-06-03,2022-10-16,98.07,20.04,1965.32,Haryana,Online,93.09,26.59,150.33
Rajasthan,659.64,93,Small,2022-12-27,10,Ghee,Amul,10.12,85.69,867.18,13,Refrigerated,2022-11-21,2022-12-04,5.28,92.96,490.83,Bihar,Wholesale,4.84,71.28,26.22
Delhi,304.36,116,Medium,2022-03-13,4,Yogurt,Passion Cheese,306.89,54.64,16768.47,102,Frozen,2022-02-21,2022-06-03,299.94,52.29,15683.86,Uttar Pradesh,Retail,6.95,46.57,104.74
Bihar,702.27,20,Small,2021-11-10,7,Lassi,Mother Dairy,724.05,66.1,47859.7,94,Ambient,2021-10-12,2022-01-14,510.29,62.38,31831.89,Telangana,Online,213.76,77.76,71.55
Rajasthan,400.9,44,Medium,2020-06-27,8,Buttermilk,Dodla Dairy,815.59,95.37,77782.82,52,Frozen,2020-05-06,2020-06-27,321.63,94.84,30503.39,Tamil Nadu,Wholesale,493.96,92.71,112.64
Rajasthan,745.18,89,Small,2024-07-09,3,Cheese,Mother Dairy,31.29,89.85,2811.41,12,Frozen,2024-05-29,2024-06-10,27.59,84.45,2329.98,Bihar,Retail,3.7,70.27,154.42
West Bengal,544.43,104,Small,2022-07-15,9,Paneer,Raj,427.33,84.52,36117.93,105,Ambient,2022-07-12,2022-10-25,73.82,92.86,6854.93,Chandigarh,Online,353.51,11.73,108.84
Rajasthan,637.95,73,Small,2023-06-06,2,Butter,Mother Dairy,459.32,58.49,26865.63,68,Refrigerated,2023-05-28,2023-08-04,281.04,55.6,15625.82,Karnataka,Wholesale,178.28,20.13,169.55
Tamil Nadu,525.94,109,Small,2023-03-24,6,Curd,Passion Cheese,198.84,58.64,11659.98,149,Polythene Packet,2023-01-31,2023-06-29,67.94,57.12,3880.73,Haryana,Online,130.9,60.1,116.97
Bihar,512.37,73,Small,2023-03-01,8,Buttermilk,Britannia Industries,83.95,10.93,917.57,43,Tetra Pack,2023-01-24,2023-03-08,8.88,11.99,106.47,Delhi,Wholesale,75.07,56.47,143.2
Telangana,569.95,26,Small,2020-12-06,8,Buttermilk,Dodla Dairy,263.55,75.68,19945.46,18,Refrigerated,2020-11-23,2020-12-11,51.21,76.46,3915.52,Kerala,Retail,212.34,32.11,166.36
Maharashtra,589.35,32,Small,2024-02-13,6,Curd,Amul,420.82,89.23,37549.77,113,Tetra Pack,2024-02-09,2024-06-01,311.13,92.38,28742.19,Delhi,Retail,109.69,61.37,97.75
Tamil Nadu,110.23,21,Large,2022-10-26,1,Milk,Raj,770.99,16.95,13068.28,79,Tetra Pack,2022-08-29,2022-11-16,449.32,16.53,7427.26,Chandigarh,Wholesale,321.67,85.88,111.46
Rajasthan,873.88,46,Medium,2024-11-04,9,Paneer,Dodla Dairy,511.55,24.15,12353.93,106,Polythene Packet,2024-09-30,2025-01-14,38.74,22.07,854.99,Gujarat,Wholesale,472.81,59.21,48.86
Bihar,780.07,120,Medium,2023-03-29,2,Butter,Amul,107.86,31.64,3412.69,98,Polythene Packet,2023-03-22,2023-06-28,56.27,33.68,1895.17,Rajasthan,Retail,51.59,35.26,119.95
Tamil Nadu,888.5,38,Small,2023-05-11,4,Yogurt,Dynamix Dairies,793.61,43.05,34164.91,125,Refrigerated,2023-04-28,2023-08-31,65.23,45.09,2941.22,Maharashtra,Wholesale,728.38,7.61,51.48
Jharkhand,575.83,42,Large,2019-12-26,6,Curd,Dodla Dairy,959.74,86.42,82940.73,128,Polythene Packet,2019-10-31,2020-03-07,927.86,89.96,83470.29,Delhi,Online,31.88,14.53,32.71
Telangana,440.53,42,Medium,2022-03-27,7,Lassi,Dynamix Dairies,713.98,11.25,8032.28,86,Tetra Pack,2022-02-20,2022-05-17,558.54,10.95,6116.01,Maharashtra,Retail,155.44,92.11,54.19
Karnataka,28.33,28,Large,2023-01-19,1,Milk,Dynamix Dairies,428.3,60.32,25835.06,105,Tetra Pack,2023-01-18,2023-05-03,305.09,54.44,16609.1,Tamil Nadu,Wholesale,123.21,97.59,176.78
Haryana,843.57,89,Large,2020-11-17,7,Lassi,Dynamix Dairies,211.67,25.92,5486.49,15,Refrigerated,2020-10-15,2020-10-30,183.26,27.34,5010.33,Karnataka,Retail,28.41,70.81,93.35
Rajasthan,204.33,48,Small,2021-10-11,10,Ghee,Dodla Dairy,323.88,29.82,9658.1,99,Ambient,2021-10-02,2022-01-09,97.23,30.55,2970.38,Rajasthan,Online,226.65,20.59,26.37
Chandigarh,814.06,29,Small,2021-06-03,10,Ghee,Dodla Dairy,492.52,99.78,49143.65,16,Polythene Packet,2021-04-10,2021-04-26,369.73,91.58,33859.87,Jharkhand,Online,122.79,76.61,131.74
Madhya Pradesh,286.59,114,Large,2019-09-19,3,Cheese,Passion Cheese,731.99,77.53,56751.18,85,Frozen,2019-08-10,2019-11-03,442.67,84.44,37379.05,Chandigarh,Retail,289.32,85.48,94.08
Tamil Nadu,315.72,120,Medium,2021-01-18,5,Ice Cream,Britannia Industries,566.39,96.56,54690.62,95,Tetra Pack,2020-12-29,2021-04-03,28.26,103.62,2928.3,Kerala,Wholesale,538.13,65.28,111.41
Maharashtra,53.38,54,Small,2020-03-12,6,Curd,Raj,23.48,69.61,1634.44,94,Polythene Packet,2020-01-26,2020-04-29,2.66,73.61,195.8,Telangana,Wholesale,20.82,17.09,139.87
Telangana,59.2,62,Medium,2020-06-24,1,Milk,Mother Dairy,715.44,87.15,62350.6,12,Refrigerated,2020-05-08,2020-05-20,507.17,91.75,46532.85,Telangana,Retail,208.27,83.01,80.11
Karnataka,745.44,111,Small,2022-06-07,3,Cheese,Raj,21.03,20.69,435.11,29,Tetra Pack,2022-05-29,2022-06-27,7.9,19.83,156.66,Uttar Pradesh,Wholesale,13.13,53.36,178.35
Gujarat,74.76,98,Large,2020-06-15,3,Cheese,Dynamix Dairies,432.96,92.21,39923.24,91,Refrigerated,2020-05-03,2020-08-02,346.83,98.94,34315.36,West Bengal,Retail,86.13,24.96,167.81
Jharkhand,142.48,51,Small,2022-08-15,3,Cheese,Dynamix Dairies,512.66,98.31,50399.6,67,Frozen,2022-08-01,2022-10-07,433.64,95.88,41577.4,Haryana,Retail,79.02,90.31,85.0
Madhya Pradesh,90.99,73,Large,2024-04-08,6,Curd,Sudha,334.24,41.75,13954.52,120,Tetra Pack,2024-04-03,2024-08-01,189.99,39.21,7449.51,Telangana,Wholesale,144.25,8.64,152.59
Telangana,338.57,60,Large,2023-05-10,1,Milk,Dodla Dairy,119.4,47.8,5707.32,39,Frozen,2023-04-11,2023-05-20,19.18,44.31,849.87,West Bengal,Wholesale,100.22,5.83,44.26
Jharkhand,624.53,69,Large,2021-04-07,10,Ghee,Mother Dairy,93.17,99.51,9271.35,81,Polythene Packet,2021-02-16,2021-05-08,17.33,106.15,1839.58,Karnataka,Online,75.84,91.8,186.34
Chandigarh,872.66,77,Large,2020-08-07,1,Milk,Mother Dairy,611.04,81.53,49818.09,43,Ambient,2020-08-01,2020-09-13,138.49,81.03,11221.84,Gujarat,Retail,472.55,97.03,64.86
Rajasthan,274.54,58,Medium,2019-03-12,2,Butter,Raj,424.94,19.69,8367.07,104,Tetra Pack,2019-01-31,2019-05-15,178.47,21.15,3774.64,Karnataka,Retail,246.47,57.18,199.19
Maharashtra,388.62,112,Large,2024-03-28,7,Lassi,Dodla Dairy,248.32,77.4,19219.97,146,Frozen,2024-02-19,2024-07-14,99.19,77.95,7731.86,Chandigarh,Retail,149.13,44.02,34.56
Madhya Pradesh,284.99,66,Large,2020-05-09,10,Ghee,Britannia Industries,868.83,86.04,74754.13,75,Ambient,2020-03-23,2020-06-06,70.14,93.9,6586.15,Delhi,Wholesale,798.69,28.32,107.91
Chandigarh,310.93,102,Medium,2022-03-28,1,Milk,Passion Cheese,313.07,48.91,15312.25,77,Refrigerated,2022-03-25,2022-06-10,120.63,47.25,5699.77,Uttar Pradesh,Retail,192.44,7.48,44.11
Jharkhand,771.58,59,Medium,2020-11-09,7,Lassi,Mother Dairy,866.4,98.66,85479.02,13,Refrigerated,2020-11-05,2020-11-18,739.96,97.55,72183.1,West Bengal,Wholesale,126.44,82.24,68.32
Gujarat,560.35,48,Small,2020-10-23,10,Ghee,Passion Cheese,984.82,80.21,78992.41,98,Ambient,2020-10-07,2021-01-13,850.88,74.35,63262.93,West Bengal,Online,133.94,22.91,199.77
Uttar Pradesh,887.32,64,Medium,2020-06-07,10,Ghee,Dodla Dairy,939.42,88.48,83119.88,92,Tetra Pack,2020-04-28,2020-07-29,620.8,84.67,52563.14,Karnataka,Wholesale,318.62,92.61,162.35
Gujarat,43.48,87,Small,2020-03-31,1,Milk,Dynamix Dairies,56.24,19.92,1120.3,99,Ambient,2020-02-01,2020-05-10,45.91,20.55,943.45,Bihar,Wholesale,10.33,91.5,77.88
Haryana,595.63,75,Large,2022-07-16,6,Curd,Amul,895.09,14.97,13399.5,3,Ambient,2022-07-05,2022-07-08,520.67,14.15,7367.48,Maharashtra,Retail,374.42,95.92,105.66
Maharashtra,624.15,61,Medium,2022-08-09,8,Buttermilk,Raj,669.45,25.1,16803.2,28,Tetra Pack,2022-07-05,2022-08-02,498.63,25.28,12605.37,Kerala,Online,170.82,20.42,164.72
Tamil Nadu,168.51,53,Medium,2024-07-07,9,Paneer,Sudha,377.28,15.59,5881.8,117,Polythene Packet,2024-05-26,2024-09-20,241.59,15.64,3778.47,Haryana,Wholesale,135.69,38.77,138.97
Haryana,119.19,29,Large,2024-10-09,9,Paneer,Dynamix Dairies,572.55,12.71,7277.11,5,Refrigerated,2024-08-26,2024-08-31,557.03,13.22,7363.94,Telangana,Online,15.52,51.02,65.7
Kerala,881.02,76,Medium,2020-07-04,7,Lassi,Sudha,355.81,89.14,31716.9,30,Polythene Packet,2020-06-06,2020-07-06,39.22,95.74,3754.92,Haryana,Online,316.59,23.38,77.86
Kerala,790.05,68,Medium,2022-01-26,8,Buttermilk,Dodla Dairy,540.11,44.25,23899.87,15,Refrigerated,2021-12-24,2022-01-08,351.25,45.28,15904.6,Haryana,Retail,188.86,95.25,176.46
Rajasthan,337.26,31,Large,2022-08-25,10,Ghee,Raj,23.94,29.98,717.72,2,Ambient,2022-07-09,2022-07-11,21.59,31.61,682.46,Bihar,Wholesale,2.35,74.89,126.39
Maharashtra,261.97,74,Medium,2022-09-15,3,Cheese,Dynamix Dairies,407.99,56.84,23190.15,136,Refrigerated,2022-08-22,2023-01-05,48.96,61.72,3021.81,Chandigarh,Wholesale,359.03,89.16,80.09
Telangana,183.28,86,Medium,2023-04-25,4,Yogurt,Dynamix Dairies,719.92,72.79,52402.98,24,Polythene Packet,2023-03-21,2023-04-14,583.91,70.56,41200.69,Bihar,Retail,136.01,17.18,43.63
Karnataka,356.03,80,Large,2021-04-24,9,Paneer,Britannia Industries,921.29,51.06,47041.07,36,Refrigerated,2021-03-15,2021-04-20,241.96,51.3,12412.55,Chandigarh,Online,679.33,35.51,93.25
Gujarat,724.01,31,Medium,2020-05-10,8,Buttermilk,Mother Dairy,464.74,95.72,44484.91,102,Ambient,2020-04-12,2020-07-23,154.28,96.42,14875.68,Jharkhand,Wholesale,310.46,69.44,196.7
Telangana,570.29,73,Large,2023-05-28,5,Ice Cream,Dynamix Dairies,859.87,33.58,28874.43,38,Polythene Packet,2023-04-23,2023-05-31,388.79,31.69,12320.76,Delhi,Retail,471.08,50.88,114.12
Madhya Pradesh,571.94,70,Large,2023-01-03,7,Lassi,Sudha,701.48,56.61,39710.78,83,Polythene Packet,2022-11-18,2023-02-09,311.24,54.38,16925.23,Madhya Pradesh,Retail,390.24,77.3,173.92
Maharashtra,262.91,114,Medium,2019-03-29,3,Cheese,Mother Dairy,293.49,73.29,21509.88,145,Tetra Pack,2019-03-16,2019-08-08,210.6,76.79,16171.97,Kerala,Online,82.89,47.39,185.15
West Bengal,727.92,45,Small,2020-10-15,9,Paneer,Dodla Dairy,710.74,84.74,60228.11,67,Tetra Pack,2020-09-15,2020-11-21,139.77,90.76,12685.53,Bihar,Retail,570.97,25.14,156.07
Rajasthan,634.85,55,Medium,2019-08-28,9,Paneer,Dodla Dairy,299.54,10.1,3025.35,113,Tetra Pack,2019-07-19,2019-11-09,183.98,9.79,1801.16,Madhya Pradesh,Wholesale,115.56,64.92,121.51
Bihar,573.27,78,Small,2020-04-09,9,Paneer,Mother Dairy,272.95,97.38,26579.87,18,Tetra Pack,2020-02-27,2020-03-16,82.85,90.58,7504.55,West Bengal,Online,190.1,75.62,170.18
Rajasthan,474.26,68,Medium,2020-04-26,9,Paneer,Passion Cheese,581.83,22.29,12968.99,64,Polythene Packet,2020-04-06,2020-06-09,439.59,20.25,8901.7,Jharkhand,Wholesale,142.24,22.44,52.26
Maharashtra,599.83,104,Large,2023-12-25,8,Buttermilk,Britannia Industries,114.36,49.85,5700.85,40,Ambient,2023-11-07,2023-12-17,19.09,46.04,878.9,Gujarat,Wholesale,95.27,61.8,158.67
West Bengal,182.45,54,Medium,2022-11-06,7,Lassi,Amul,200.42,93.65,18769.33,144,Refrigerated,2022-09-08,2023-01-30,40.39,84.78,3424.26,Chandigarh,Online,160.03,52.55,136.92
Bihar,654.95,82,Large,2023-10-12,7,Lassi,Britannia Industries,538.36,51.63,27795.53,114,Tetra Pack,2023-08-14,2023-12-06,22.26,51.89,1155.07,Jharkhand,Retail,516.1,64.6,127.23
Chandigarh,759.71,25,Small,2020-11-23,10,Ghee,Dodla Dairy,741.76,61.2,45395.71,50,Refrigerated,2020-10-17,2020-12-06,578.85,57.57,33324.39,Uttar Pradesh,Online,162.91,67.64,59.31
Rajasthan,770.18,65,Small,2021-05-13,5,Ice Cream,Dodla Dairy,116.21,77.25,8977.22,34,Refrigerated,2021-04-19,2021-05-23,17.61,77.12,1358.08,Delhi,Online,98.6,56.31,36.22
Gujarat,248.55,65,Large,2024-08-19,10,Ghee,Sudha,311.04,24.67,7673.36,39,Tetra Pack,2024-07-06,2024-08-14,274.61,22.69,6230.9,Kerala,Online,36.43,59.4,152.03
Bihar,384.41,116,Large,2024-05-15,2,Butter,Raj,585.15,22.23,13007.88,77,Frozen,2024-04-09,2024-06-25,465.54,22.14,10307.06,Chandigarh,Wholesale,119.61,94.54,75.78
Madhya Pradesh,159.78,88,Small,2019-08-16,7,Lassi,Dynamix Dairies,663.96,29.01,19261.48,141,Polythene Packet,2019-08-10,2019-12-29,158.36,26.35,4172.79,Tamil Nadu,Wholesale,505.6,81.13,20.2
Telangana,763.53,79,Small,2024-09-23,7,Lassi,Britannia Industries,993.67,32.3,32095.54,4,Tetra Pack,2024-07-26,2024-07-30,344.73,32.43,11179.59,Jharkhand,Retail,648.94,31.3,93.92
Gujarat,181.88,29,Medium,2021-01-13,7,Lassi,Passion Cheese,604.75,50.24,30382.64,102,Tetra Pack,2020-12-25,2021-04-06,178.91,49.13,8789.85,Karnataka,Online,425.84,30.87,113.25
Jharkhand,865.65,68,Small,2021-04-18,1,Milk,Dynamix Dairies,623.24,77.51,48307.33,73,Tetra Pack,2021-03-05,2021-05-17,566.28,77.54,43909.35,Bihar,Online,56.96,42.86,131.25
Rajasthan,364.05,73,Small,2019-10-08,10,Ghee,Dodla Dairy,226.33,10.94,2476.05,143,Polythene Packet,2019-08-30,2020-01-20,10.95,11.32,123.95,Uttar Pradesh,Retail,215.38,48.28,68.21
Delhi,577.52,113,Large,2023-11-07,7,Lassi,Passion Cheese,468.25,58.14,27224.06,110,Frozen,2023-10-29,2024-02-16,194.61,60.9,11851.75,Gujarat,Online,273.64,74.46,155.14
Bihar,754.06,61,Large,2021-02-22,6,Curd,Sudha,208.16,76.02,15824.32,10,Ambient,2021-01-16,2021-01-26,24.5,76.62,1877.19,Bihar,Wholesale,183.66,5.3,150.57
Bihar,482.46,106,Large,2020-09-05,5,Ice Cream,Dodla Dairy,853.05,53.95,46022.05,9,Ambient,2020-08-29,2020-09-07,776.17,56.41,43783.75,Bihar,Retail,76.88,53.15,89.87
Delhi,251.53,61,Medium,2022-03-26,7,Lassi,Britannia Industries,353.33,47.59,16814.97,62,Ambient,2022-02-20,2022-04-23,32.36,49.98,1617.35,Rajasthan,Wholesale,320.97,62.53,106.48
Maharashtra,874.19,53,Large,2020-09-20,2,Butter,Mother Dairy,343.02,93.16,31955.74,86,Tetra Pack,2020-09-14,2020-12-09,206.69,88.64,18321.0,Tamil Nadu,Online,136.33,29.74,23.67
Delhi,372.35,25,Large,2021-10-24,9,Paneer,Raj,265.13,26.16,6935.8,149,Ambient,2021-10-04,2022-03-02,214.2,26.54,5684.87,Haryana,Wholesale,50.93,54.88,162.6
Chandigarh,879.93,99,Medium,2024-08-05,2,Butter,Passion Cheese,121.42,79.28,9626.18,57,Polythene Packet,2024-06-14,2024-08-10,57.23,81.04,4637.92,Chandigarh,Online,64.19,86.74,55.32
Madhya Pradesh,450.85,86,Large,2022-11-20,7,Lassi,Amul,18.48,16.41,303.26,128,Ambient,2022-09-30,2023-02-05,12.69,15.24,193.4,Bihar,Retail,5.79,69.89,118.74
Haryana,880.8,110,Small,2022-02-26,8,Buttermilk,Dynamix Dairies,598.01,71.05,42488.61,69,Tetra Pack,2022-02-10,2022-04-20,383.9,66.78,25636.84,Uttar Pradesh,Retail,214.11,69.7,27.01
Maharashtra,730.93,120,Small,2021-06-15,2,Butter,Amul,921.82,72.25,66601.5,67,Ambient,2021-05-25,2021-07-31,355.52,76.7,27268.38,Rajasthan,Online,566.3,59.18,33.16
Jharkhand,375.92,104,Large,2019-07-02,9,Paneer,Mother Dairy,516.41,24.37,12584.91,22,Tetra Pack,2019-05-16,2019-06-07,375.09,21.99,8248.23,Chandigarh,Wholesale,141.32,12.09,191.12
Haryana,769.84,77,Small,2021-05-31,7,Lassi,Mother Dairy,617.51,81.69,50444.39,82,Tetra Pack,2021-04-18,2021-07-09,75.07,80.7,6058.15,Rajasthan,Retail,542.44,29.56,176.95
Chandigarh,243.32,105,Small,2021-11-19,9,Paneer,Passion Cheese,51.14,57.91,2961.52,36,Polythene Packet,2021-09-29,2021-11-04,7.43,53.18,395.13,Delhi,Retail,43.71,26.17,195.39
Telangana,294.39,44,Large,2023-08-07,5,Ice Cream,Amul,124.64,91.98,11464.39,81,Tetra Pack,2023-07-07,2023-09-26,5.31,83.13,441.42,Jharkhand,Online,119.33,65.98,142.92
Gujarat,883.9,82,Medium,2022-06-10,6,Curd,Raj,987.86,75.03,74119.14,137,Ambient,2022-05-04,2022-09-18,73.95,72.74,5379.12,Jharkhand,Retail,913.91,41.55,116.71
Karnataka,661.76,37,Large,2024-10-30,10,Ghee,Raj,226.72,10.5,2380.56,40,Frozen,2024-09-07,2024-10-17,87.23,10.96,956.04,Jharkhand,Online,139.49,33.68,166.54
Rajasthan,17.03,25,Large,2020-07-10,7,Lassi,Passion Cheese,636.08,32.53,20691.68,43,Tetra Pack,2020-05-18,2020-06-30,137.73,33.83,4659.41,Gujarat,Wholesale,498.35,20.14,112.55
Delhi,428.51,80,Medium,2022-05-09,6,Curd,Britannia Industries,861.73,21.77,18759.86,19,Polythene Packet,2022-03-26,2022-04-14,474.44,21.35,10129.29,Madhya Pradesh,Online,387.29,13.05,21.86
Chandigarh,682.15,28,Large,2021-09-25,10,Ghee,Sudha,524.35,10.85,5689.2,68,Refrigerated,2021-08-23,2021-10-30,433.12,11.22,4859.61,Madhya Pradesh,Wholesale,91.23,44.62,124.86
Bihar,184.99,69,Medium,2019-12-31,1,Milk,Passion Cheese,225.71,80.29,18122.26,40,Ambient,2019-11-30,2020-01-09,129.23,81.28,10503.81,Madhya Pradesh,Retail,96.48,38.06,46.25
Madhya Pradesh,100.74,36,Small,2020-11-29,10,Ghee,Britannia Industries,547.66,64.81,35493.84,48,Refrigerated,2020-10-29,2020-12-16,100.26,62.5,6266.25,Kerala,Retail,447.4,95.51,175.88
Haryana,46.31,46,Large,2021-08-20,6,Curd,Passion Cheese,856.79,90.49,77530.93,126,Frozen,2021-08-03,2021-12-07,720.11,96.24,69303.39,Delhi,Retail,136.68,12.86,20.01
West Bengal,844.39,74,Small,2019-10-18,8,Buttermilk,Dodla Dairy,960.29,89.46,85907.54,94,Refrigerated,2019-09-14,2019-12-17,512.98,87.68,44978.09,Tamil Nadu,Retail,447.31,99.04,143.75
Jharkhand,31.33,105,Large,2019-03-27,2,Butter,Sudha,950.21,81.04,77005.02,17,Tetra Pack,2019-02-07,2019-02-24,918.77,82.82,76092.53,Gujarat,Wholesale,31.44,95.08,183.72
Haryana,694.7,72,Large,2021-05-01,5,Ice Cream,Sudha,149.1,27.73,4134.54,70,Ambient,2021-04-12,2021-06-21,61.13,29.63,1811.28,Jharkhand,Wholesale,87.97,21.3,48.89
Delhi,156.97,116,Small,2022-10-03,10,Ghee,Passion Cheese,516.31,90.82,46891.27,46,Tetra Pack,2022-09-14,2022-10-30,216.94,85.85,18624.3,Chandigarh,Online,299.37,11.61,138.16
Kerala,886.89,85,Medium,2022-02-10,5,Ice Cream,Raj,936.98,76.44,71622.75,61,Refrigerated,2022-01-15,2022-03-17,239.2,71.53,17109.98,Tamil Nadu,Online,697.78,79.89,44.73
Haryana,448.19,114,Large,2022-02-24,2,Butter,Britannia Industries,16.81,26.68,448.49,20,Ambient,2022-01-12,2022-02-01,5.78,24.63,142.36,Delhi,Retail,11.03,80.93,192.79
Delhi,485.08,116,Medium,2024-02-26,7,Lassi,Mother Dairy,493.03,23.39,11531.97,97,Tetra Pack,2024-01-13,2024-04-19,117.7,23.61,2778.9,Bihar,Online,375.33,18.58,100.97
Haryana,132.23,100,Large,2024-11-04,7,Lassi,Dynamix Dairies,622.71,81.95,51031.08,61,Frozen,2024-10-18,2024-12-18,373.97,73.95,27655.08,Chandigarh,Wholesale,248.74,60.29,79.95
Tamil Nadu,871.72,92,Medium,2023-02-26,8,Buttermilk,Mother Dairy,699.47,11.39,7966.96,21,Polythene Packet,2023-02-18,2023-03-11,267.42,10.77,2880.11,Gujarat,Online,432.05,83.7,154.89
West Bengal,466.44,102,Small,2022-11-16,1,Milk,Passion Cheese,227.94,23.17,5281.37,142,Ambient,2022-11-09,2023-03-31,48.01,24.1,1157.04,Bihar,Wholesale,179.93,45.56,140.73
Maharashtra,687.18,99,Large,2023-01-17,5,Ice Cream,Dodla Dairy,29.79,88.66,2641.18,83,Frozen,2023-01-06,2023-03-30,21.35,89.55,1911.89,Tamil Nadu,Retail,8.44,21.96,31.42
Telangana,181.67,85,Medium,2021-05-27,7,Lassi,Mother Dairy,781.0,58.37,45586.97,125,Tetra Pack,2021-05-18,2021-09-20,738.3,52.86,39026.54,Uttar Pradesh,Wholesale,42.7,22.77,176.85
Chandigarh,309.1,38,Large,2020-01-18,10,Ghee,Britannia Industries,830.94,90.03,74809.53,55,Polythene Packet,2020-01-15,2020-03-10,319.59,96.38,30802.08,Uttar Pradesh,Online,511.35,89.77,102.55
Delhi,11.2,57,Large,2024-09-08,5,Ice Cream,Passion Cheese,16.38,24.55,402.13,129,Tetra Pack,2024-07-29,2024-12-05,6.99,22.58,157.83,Haryana,Online,9.39,23.91,161.61
Jharkhand,587.79,94,Large,2024-11-21,9,Paneer,Amul,551.87,84.5,46633.01,63,Frozen,2024-10-13,2024-12-15,242.72,78.54,19063.23,Madhya Pradesh,Wholesale,309.15,51.46,163.68
Delhi,326.62,67,Medium,2024-02-03,9,Paneer,Dynamix Dairies,366.73,41.07,15061.6,93,Ambient,2024-01-17,2024-04-19,329.34,38.08,12541.27,Kerala,Retail,37.39,58.68,68.89
Madhya Pradesh,532.58,59,Large,2020-12-24,8,Buttermilk,Amul,480.76,68.91,33129.17,66,Polythene Packet,2020-11-10,2021-01-15,445.53,73.64,32808.83,Delhi,Online,35.23,40.49,47.0
Haryana,795.23,53,Medium,2020-07-24,7,Lassi,Britannia Industries,164.21,52.31,8589.83,51,Refrigerated,2020-06-09,2020-07-30,129.91,56.33,7317.83,Chandigarh,Retail,34.3,37.18,176.62
Jharkhand,897.94,53,Small,2023-10-23,2,Butter,Dodla Dairy,422.71,35.26,14904.75,24,Tetra Pack,2023-09-23,2023-10-17,25.61,38.08,975.23,Gujarat,Wholesale,397.1,17.59,195.05
Jharkhand,179.56,49,Small,2020-07-20,6,Curd,Dodla Dairy,549.82,26.63,14641.71,29,Polythene Packet,2020-07-10,2020-08-08,486.75,24.53,11939.98,Rajasthan,Online,63.07,55.5,55.2
Tamil Nadu,266.32,90,Medium,2022-05-25,7,Lassi,Britannia Industries,919.34,47.07,43273.33,85,Tetra Pack,2022-04-12,2022-07-06,325.09,44.43,14443.75,Uttar Pradesh,Wholesale,594.25,22.56,142.72
Kerala,83.66,24,Small,2022-11-23,7,Lassi,Britannia Industries,293.4,77.75,22811.85,103,Refrigerated,2022-10-25,2023-02-05,269.96,82.91,22382.38,Chandigarh,Wholesale,23.44,41.86,147.97
Delhi,73.31,26,Medium,2024-08-03,8,Buttermilk,Dodla Dairy,817.75,52.1,42604.78,18,Frozen,2024-07-30,2024-08-17,327.56,52.83,17304.99,Tamil Nadu,Online,490.19,9.02,187.0
Madhya Pradesh,675.03,56,Medium,2020-10-23,6,Curd,Passion Cheese,598.4,31.78,19017.15,74,Frozen,2020-10-21,2021-01-03,74.14,32.91,2439.95,Uttar Pradesh,Wholesale,524.26,96.33,166.75
Rajasthan,505.69,115,Small,2024-08-03,4,Yogurt,Dynamix Dairies,308.77,21.63,6678.7,98,Refrigerated,2024-06-28,2024-10-04,175.68,22.2,3900.1,Telangana,Online,133.09,80.34,123.27
Kerala,511.76,86,Large,2021-12-09,4,Yogurt,Mother Dairy,461.54,34.63,15983.13,63,Polythene Packet,2021-12-02,2022-02-03,318.03,34.23,10886.17,Madhya Pradesh,Retail,143.51,98.53,75.34
Uttar Pradesh,750.94,58,Small,2022-08-09,10,Ghee,Passion Cheese,981.27,52.37,51389.11,71,Frozen,2022-07-24,2022-10-03,400.03,48.96,19585.47,Telangana,Online,581.24,76.32,89.02
